Result,name,Context
✅ UPDATED in military_events table,12379,"lon=45.278662362351604, lat=37.09104950283997"
fit_descendant_coords updated center (mean).,12379,"lon=45.278662362351604, lat=37.09104950283997"
✅ UPDATED in military_events table,13851,"lon=56.14889478785864, lat=23.726421913612704"
fit_descendant_coords updated center (mean).,13851,"lon=56.14889478785864, lat=23.726421913612704"
✅ UPDATED in military_events table,7364,"lon=0.9213087300098136, lat=42.86677182410434"
fit_descendant_coords updated center (mean).,7364,"lon=0.9213087300098136, lat=42.86677182410434"
✅ UPDATED in military_events table,7384,"lon=1.3595650402703054, lat=42.25485664528365"
fit_descendant_coords updated center (mean).,7384,"lon=1.3595650402703054, lat=42.25485664528365"
✅ UPDATED in military_events table,11153,"lon=20.477982278215332, lat=43.07087556961851"
fit_descendant_coords updated center (mean).,11153,"lon=20.477982278215332, lat=43.07087556961851"
✅ UPDATED in military_events table,9845,"lon=-84.10016293755628, lat=35.83849881870002"
fit_descendant_coords updated center (mean).,9845,"lon=-84.10016293755628, lat=35.83849881870002"
✅ UPDATED in military_events table,7502,"lon=5.961276280102565, lat=45.64685512821007"
fit_descendant_coords updated center (mean).,7502,"lon=5.961276280102565, lat=45.64685512821007"
✅ UPDATED in military_events table,5025,"lon=3.880139341056208, lat=42.557133507030564"
fit_descendant_coords updated center (mean).,5025,"lon=3.880139341056208, lat=42.557133507030564"
✅ UPDATED in military_events table,16344,"lon=33.9165715684259, lat=34.85128800630004"
fit_descendant_coords updated center (mean).,16344,"lon=33.9165715684259, lat=34.85128800630004"
✅ UPDATED in military_events table,8378,"lon=5.416105151479451, lat=39.44278415717807"
fit_descendant_coords updated center (mean).,8378,"lon=5.416105151479451, lat=39.44278415717807"
✅ UPDATED in military_events table,2923,"lon=-5.4491482816055195, lat=43.53098419613636"
fit_descendant_coords updated center (mean).,2923,"lon=-5.4491482816055195, lat=43.53098419613636"
✅ UPDATED in military_events table,13327,"lon=129.96779027314787, lat=18.041186201777183"
fit_descendant_coords updated center (mean).,13327,"lon=129.96779027314787, lat=18.041186201777183"
✅ UPDATED in military_events table,16963,"lon=35.112677494039666, lat=30.803779998903476"
fit_descendant_coords updated center (mean).,16963,"lon=35.112677494039666, lat=30.803779998903476"
✅ UPDATED in military_events table,16473,"lon=37.482540840861205, lat=35.04865525745816"
fit_descendant_coords updated center (mean).,16473,"lon=37.482540840861205, lat=35.04865525745816"
✅ UPDATED in military_events table,3804,"lon=18.66170519540614, lat=42.523416689420564"
fit_descendant_coords updated center (mean).,3804,"lon=18.66170519540614, lat=42.523416689420564"
✅ UPDATED in military_events table,16070,"lon=35.40847791359227, lat=48.82105532152217"
fit_descendant_coords updated center (mean).,16070,"lon=35.40847791359227, lat=48.82105532152217"
✅ UPDATED in military_events table,16071,"lon=35.28031845960558, lat=48.84854071160188"
fit_descendant_coords updated center (mean).,16071,"lon=35.28031845960558, lat=48.84854071160188"
✅ UPDATED in military_events table,5083,"lon=1.667149978276119, lat=37.71193824065489"
fit_descendant_coords updated center (mean).,5083,"lon=1.667149978276119, lat=37.71193824065489"
✅ UPDATED in military_events table,14607,"lon=66.78020428232763, lat=32.17653511013592"
fit_descendant_coords updated center (mean).,14607,"lon=66.78020428232763, lat=32.17653511013592"
✅ UPDATED in military_events table,7083,"lon=-67.46612964303938, lat=36.16371822495669"
fit_descendant_coords updated center (mean).,7083,"lon=-67.46612964303938, lat=36.16371822495669"
✅ UPDATED in military_events table,11299,"lon=11.982129393990075, lat=48.90145113294846"
fit_descendant_coords updated center (mean).,11299,"lon=11.982129393990075, lat=48.90145113294846"
✅ UPDATED in military_events table,5781,"lon=-96.97608997949395, lat=40.861236860570266"
fit_descendant_coords updated center (mean).,5781,"lon=-96.97608997949395, lat=40.861236860570266"
✅ UPDATED in military_events table,7507,"lon=1.8413074794959667, lat=47.040803340131056"
fit_descendant_coords updated center (mean).,7507,"lon=1.8413074794959667, lat=47.040803340131056"
✅ UPDATED in military_events table,1042,"lon=28.819106172247906, lat=53.90646678989073"
fit_descendant_coords updated center (mean).,1042,"lon=28.819106172247906, lat=53.90646678989073"
✅ UPDATED in military_events table,1043,"lon=28.72270303373418, lat=53.89469789683542"
fit_descendant_coords updated center (mean).,1043,"lon=28.72270303373418, lat=53.89469789683542"
✅ UPDATED in military_events table,15807,"lon=41.36984781326959, lat=31.93050982418876"
fit_descendant_coords updated center (mean).,15807,"lon=41.36984781326959, lat=31.93050982418876"
✅ UPDATED in military_events table,2683,"lon=17.649659207620005, lat=41.66360552012445"
fit_descendant_coords updated center (mean).,2683,"lon=17.649659207620005, lat=41.66360552012445"
✅ UPDATED in military_events table,14647,"lon=66.87997638779616, lat=31.621354854885343"
fit_descendant_coords updated center (mean).,14647,"lon=66.87997638779616, lat=31.621354854885343"
✅ UPDATED in military_events table,8469,"lon=-3.252432923114287, lat=40.893296383245215"
fit_descendant_coords updated center (mean).,8469,"lon=-3.252432923114287, lat=40.893296383245215"
✅ UPDATED in military_events table,14198,"lon=105.38777129022618, lat=14.429626395561911"
fit_descendant_coords updated center (mean).,14198,"lon=105.38777129022618, lat=14.429626395561911"
✅ UPDATED in military_events table,16135,"lon=34.63717333907599, lat=49.17376485508094"
fit_descendant_coords updated center (mean).,16135,"lon=34.63717333907599, lat=49.17376485508094"
✅ UPDATED in military_events table,15478,"lon=18.673757231379312, lat=43.78843196050001"
fit_descendant_coords updated center (mean).,15478,"lon=18.673757231379312, lat=43.78843196050001"
✅ UPDATED in military_events table,3855,"lon=15.723296068181126, lat=41.55134350706631"
